country_id,country_code,country_name,country_status,created_by
238,UKR,Ukraine,1,Monis
239,ARE,United Arab Emirates,1,Monis
240,GBR,United Kingdom,1,Monis
241,TZA,United Republic of Tanzania,1,Monis
242,UMI,United States Minor Outlying Islands,1,Monis
243,USA,United States of America,1,Monis
244,VIR,United States Virgin Islands,1,Monis
245,URY,Uruguay,1,Monis
246,USG,US Naval Base Guantanamo Bay,1,Monis
247,UZB,Uzbekistan,1,Monis
248,VUT,Vanuatu,1,Monis
249,VAT,Vatican,1,Monis
250,VEN,Venezuela,1,Monis
251,VNM,Vietnam,1,Monis
252,WLF,Wallis and Futuna,1,Monis
253,ESH,Western Sahara,1,Monis
254,YEM,Yemen,1,Monis
255,ZMB,Zambia,1,Monis
256,ZWE,Zimbabwe,1,Monis
